City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,hamilton,39.1834,-84.5333,21.54,96,100,2.06,US,1689491121
288,mar del plata,-38.0023,-57.5575,7.19,89,79,7.6,AR,1689491130
289,talnakh,69.4865,88.3972,6.23,77,100,4.28,RU,1689491337
290,demopolis,32.5176,-87.8364,23.51,98,63,1.57,US,1689491337
291,likiep,9.8251,169.3107,28.45,73,25,6.82,MH,1689491337
292,la gi,10.6667,107.7833,30.39,70,100,6.91,VN,1689491338
293,filipstad,59.7124,14.1683,15.49,99,100,3.31,SE,1689491338
294,bonnyville,54.2668,-110.735,10.35,86,100,2.8,CA,1689491338
295,belvedere marittimo,39.6179,15.8617,29.27,46,0,0.5,IT,1689491338
296,mena,51.5217,32.2157,22.33,50,0,3.28,UA,1689491339
297,puerto san jose,13.9256,-90.8244,25.7,83,100,2.0,GT,1689491339
298,ocos,14.5094,-92.1933,24.85,88,100,5.11,GT,1689491340
299,afaahiti,-17.75,-149.2833,22.93,64,3,3.02,PF,1689491340
300,nchelenge,-9.3451,28.734,20.46,50,6,2.83,ZM,1689491340
301,al mijlad,11.0333,27.7333,28.45,58,100,5.89,SD,1689491341
302,kapa'a,22.0752,-159.319,26.18,81,100,6.69,US,1689491341
303,nasir,15.5894,32.5634,31.41,48,74,8.64,SD,1689491341
304,tavda,58.0425,65.2726,22.02,38,60,4.05,RU,1689491341
305,gridley,39.3638,-121.6936,32.14,39,0,2.06,US,1689491342
306,colonia,50.9333,6.95,21.01,59,20,6.69,DE,1689491342
307,nazir town,33.3061,73.4833,35.16,47,20,3.56,PK,1689491342
308,luanda,-8.8368,13.2343,20.22,80,0,1.24,AO,1689491342
309,crane,31.3974,-102.3501,30.04,32,98,3.71,US,1689491152
310,queenstown,-31.8976,26.8753,12.55,39,3,3.98,ZA,1689491337
311,brokopondo,4.75,-55.1667,24.51,89,36,2.54,SR,1689491343
312,meulaboh,4.1363,96.1285,29.66,63,83,2.51,ID,1689491343
313,weissenfels,51.2,11.9667,24.05,63,64,1.79,DE,1689491344
314,christchurch,-43.5333,172.6333,10.51,73,100,3.09,NZ,1689491167
315,mochudi,-24.4167,26.15,14.48,37,0,0.49,BW,1689491344
316,indore,22.7179,75.8333,24.1,88,75,4.63,IN,1689491344
317,swakopmund,-22.6833,14.5333,16.37,50,0,1.48,NA,1689491345
318,lethem,3.3803,-59.7968,23.54,89,15,2.61,GY,1689491345
319,muroto-misakicho,33.2833,134.15,27.77,81,30,4.82,JP,1689491345
320,belozersk,60.0326,37.7957,18.88,64,68,2.9,RU,1689491346
321,road town,18.4167,-64.6167,28.05,78,100,7.63,VG,1689491346
322,borogontsy,62.6683,131.1683,17.74,43,79,3.07,RU,1689491346
323,antalaha,-14.9003,50.2788,24.0,71,99,4.03,MG,1689491346
324,haiku-pauwela,20.9219,-156.3051,23.91,78,20,4.12,US,1689491347
325,tongren,27.7172,109.1853,33.94,44,60,3.88,CN,1689491347
326,cabo san lucas,22.8909,-109.9124,29.73,74,100,3.1,MX,1689491100
327,tupiza,-21.45,-65.7167,6.25,15,91,2.83,BO,1689491348
328,mutoko,-17.397,32.2268,15.16,51,0,1.59,ZW,1689491348
329,wladyslawowo,54.7909,18.4009,26.75,76,87,5.21,PL,1689491348
330,oelwein,42.6733,-91.9135,17.63,91,0,2.75,US,1689491349
331,fort st. john,56.2499,-120.8529,12.28,93,86,1.18,CA,1689491349
332,coquimbo,-29.9533,-71.3436,9.85,93,0,1.03,CL,1689490997
333,mweka,-4.85,21.5667,26.75,29,6,1.74,CD,1689491350
334,la ronge,55.1001,-105.2842,10.23,90,36,3.24,CA,1689491350
